TM	PITCHERS	IP	SO vlhp	BB vlhp	HIT v lhp	OB v lhp	TB v lhp	HR v lhp	BP v lhp	DP vlhp	SO v rhp	BB v rhp	HIT v rhp	OB v rhp	TB v rhp	HR v rhp	BP v rhp	DP v rhp	HO	ENDURANCE	FIELD	BK	WP	BAT-B	STL	SPD
BOA	"Abad,F*"	47	25	0	4.5	4.5	12.6	2.2	3	12	20	22	14.8	36.8	19	0.1	0	12	4	R(1) C(0)	2- 0	8	4	1WL-C	E	10
LAA	"Achter,A"	38	0	0	25.4	25.4	49.2	7.3	8	12	0	13	25.6	38.7	41.5	1.8	3	12	-1	R(2)	3- 0	0	0	1WR-C	E	10
CIN	"Adleman,T"	70	22	7	17.7	24.7	35.1	4.2	4	10	6	6	16.5	22.5	35.2	3.8	6	11	-2	S(5)	2- 0	0	0	3WR-C	E	10
CHA	"Albers,M"	51	2	11	22.6	33.6	48.3	4.8	8	3	7	8	28.8	36.8	51.5	3	4	4	1	R(1)	4-51	0	16	4WL-C	E	10
CLA	"Allen,C"	68	40	10	7.4	17.4	22.8	3.6	6*	13	59	15	0.5	15.5	1.7	0.4	0*	2	0	R(1) C(6)	2- 0	0	10	1WR-C	E	10
LAA	"Alvarez,J*"	57	14	3	28.1	31.1	28.1	0	1	2	26	0	32.9	32.9	45.4	0	0	2	0	R(1)	3-24	0	7	1WL-C	E	10
CLA	"Anderson,Co"	61	16	0	31.5	31.5	57.5	4	7	4	27	0	35.6	35.6	55.7	4.1	6	0	-4	S(5) R(3)	3-24	0	17	1WR-C	E	10
MLN	"Anderson,Ch"	152	20	10	7.4	17.5	20.5	3.2	3*	6	14	10	26	36	50.4	3.6	6	7	0	S(5)	1-10	0	5	1WR-C	E	13
CON	"Anderson,T*"	114	18	9	19	28	25	0	0	10	23	1	24.5	25.5	40.6	2.4	2	10	-2	S(6)	1-26	10	7	6NL-B	E	10
TBA	"Andriese,M"	128	20	2	15.7	17.7	32.2	3	4	10	25	1	24.9	25.9	33.1	1.4	3	9	9	S(5) R(3) C(0)	4-11	10	5	1WR-C	E	10
TBA	"Archer,C"	201	38	9	11.9	20.9	23.8	2.8	4	2	36	9	14.4	23.4	24.7	2.2	4	5	0	S(6*)	3-14	0	12	1WR-D	E	10
CHN	"Arrieta,J"	197	31	20	5.9	25.9	8.7	0.4	1	6	27	6	9.4	15.4	16.1	1	1	6	6	S(6*)	1-22	0	19	8NR-B	E	14
OAA	"Axford,J"	66	15	9	17.4	26.5	21	0	0	8	31	18	14.3	32.3	20.5	1.4	2	4	1	R(1) C(2)	3- 0	0	13	1WR-C	E	10
LAN	"Baez,P"	74	31	13	3.5	16.5	8.9	1.8	2*	1	42	6	7.4	13.4	20.1	3.4	6	0	0	R(1) C(0)	2-51	11	9	1WR-C	E	10
LAA	"Bailey,A"	44	21	3	20.1	23.1	27.4	2	2	2	26	17	12.4	29.4	31.3	3.2	6	0	0	R(1) C(4)	4- 0	8	15	1WR-C	E	10
BOA	"Barnes,M"	67	34	19	10.6	29.5	22.5	3	6	0	28	12	17.9	29.9	24.1	0	0	0	9	R(2) C(0)	4- 0	0	13	1WR-C	E	10
TEA	"Barnette,T"	60	22	6	20.5	26.5	29.5	3	4	11	22	4	10.7	14.7	16.4	0	0	12	0	R(2)	3- 0	0	20	1WR-C	E	10
MMN	"Barraclough,K"	73	45	28	3.8	31.9	7.7	0	0*	0	56	18	3.6	21.6	6.6	0	0*	0	9	R(1)	3-20	0	20	1WR-C	E	10
ARN	"Barrett,J"	59	24	19	8.3	27.3	21.9	2.8	4*	4	29	8	10.1	18.1	20.3	0	0	4	0	R(1) C(2)	4- 0	0	15	1WR-C	E	10
PIN	"Bastardo,A*"	68	15	8	15.5	23.5	41.1	6.5	8	0	41	17	9.3	26.3	20.6	1.4	2*	0	9	R(2)	4-21	18	19	1WR-C	E	10
CLA	"Bauer,T"	190	33	7	14.9	21.9	26.3	0.8	1	3	14	14	16	30	24.5	1.8	2	4	-1	S(6) R(3)	3- 0	0	3	1WR-C	E	10
LAA	"Bedrosian,C"	40	44	8	17.4	25.4	18.2	0	0	3	44	11	2.7	13.6	2.7	0	0	3	-2	R(1) C(0)	3-35	0	17	1WR-C	E	10
WAN	"Belisle,M"	46	30	0	7.4	7.4	14.6	0	0*	8	2	0	24.4	24.4	30.1	0	0	8	0	R(2)	4- 0	0	10	1WR-C	E	10
TOA	"Benoit,J"	48	28	12	13.9	25.9	21.1	2.4	3	4	38	20	3.3	23.3	4.5	0.4	0	4	-1	R(1) C(0)	3-51	0	4	1WR-C	E	10
MNA	"Berrios,J"	58	19	21	18.4	39.4	26.6	2.4	4	4	13	17	25.4	42.3	53	4.8	8	5	-1	S(5)	2-24	0	2	3WR-C	E	10
NYA	"Betances,D"	73	47	7	16.9	23.9	21.6	0	0	1	54	15	2.5	17.5	3.9	0	0	0	9	R(1) C(3)	5-51	0	19	1WR-C	E	10
CON	"Bettis,C"	186	17	8	18.6	26.6	25.7	0	0	2	12	4	27	31	48	3.8	4	3	-1	S(6)	3-15	0	4	1WR-D	E	13
TOA	"Biagini,J"	68	36	5	27	32	34.5	0	0	1	16	6	16.5	22.4	24.7	0	0	1	2	R(2) C(0)	3-43	0	9	1WR-C	E	10
ATN	"Blair,A"	70	1	19	25.8	44.8	53.3	4.1	7	0	17	7	22	29	41.7	4.3	7	1	2	S(5)	3-21	0	0	1WR-D	E	10
LAN	"Blanton,J"	80	35	10	4.9	14.9	7.3	0.8	0	4	31	6	8.1	14.1	18.1	1.4	2	5	6	R(2) C(0)	4- 0	0	8	1WR-C	E	10
MLN	"Blazek,M"	41	9	26	18.2	44.2	31.6	1.6	1	4	22	14	27.9	41.8	52	3.6	5	3	-2	R(1)	3-35	0	9	1WR-C	E	13
NYN	"Blevins,J*"	42	45	8	16	24	21.8	0.8	1	0	38	6	4.3	10.3	13.9	3.2	5	0	1	R(1) C(1)	4-34	0	5	1WL-C	E	10
MNA	"Boshers,B*"	36	37	0	17	17	23.3	0	0	2	27	2	15.4	17.4	31.5	2.4	3	3	9	R(1)	4-40	0	5	1WL-C	E	10
SLN	"Bowman,M"	68	21	11	7.9	18.9	16.3	0	0*	8	14	2	16.5	18.5	23.8	0.6	0	8	0	R(2)	2-43	0	0	1WR-C	E	10
DEA	"Boyd,M*"	97	10	10	8.5	18.5	22.5	2.4	3	7	22	7	18	25	33	3.4	6	5	-3	S(5) R(4)	3-15	0	1	1WL-C	E	10
MLN	"Boyer,B"	66	0	3	27.1	30.1	38.4	0	0	12	0	2	32.3	34.3	39.3	0	0	12	0	R(2) C(0)	3- 0	0	0	1WR-C	E	10
BAA	"Brach,B"	79	18	9	14.5	23.5	24	1.4	2	16	58	8	1.6	9.6	3	0.4	0	2	0	R(1) C(1)	5- 0	5	12	1WR-C	E	10
ARN	"Bradley,A"	142	20	16	25.2	41.2	43.3	2	3	0	34	8	14.3	22.3	25.8	0.8	0	1	4	S(6)	4-10	4	10	1WR-A	E	13
PIN	"Brault,S*"	33	7	32	24.4	56.4	28	0	0	0	16	9	27	36	47.5	2.6	5	0	6	S(5) R(3)	3-44	0	5	2WL-D	E	10
