TM	HITTERS	AB	SO vlhp	BB v lhp	HIT v lhp	OB v lhp	TB v lhp	HR v lhp	BP v lhp	CL v lhp	DP v lhp	SO v rhp	BB v rhp	HIT v rhp	OB v rhp	TB v rhp	HR v rhp	BP v rhp	CL v rhp	DP v rhp	STEALING	STL	SPD	B	H	CA	1B	2B	3B	SS	LF	CF	RF	FIELDING
CHA	"Abreu,J"	621	19	4	36	45	59.5	5.4	8	11	25	13	1	26.6	32.6	48.5	3.4	5	11	28	2/- (20-6)	D	12	D	C		310							1b-3e10
ATN	"Adams,L"	109	52	12	15	29	15.8	0.3	0	1	17	37	9	25.9	36.8	46	4	5	1	15	"*2-5,12/- (20-13)"	A	15	D	D						317	317	317	lf-3(-1)e17 cf-3e17 rf-3e17
ATN	"Adams,M*"	339	29	0	8.3	9.3	24.9	4.2	6*	0	11	31	1	26.8	28.8	49.8	4.8	7	-5	11	-/- (---)	E	11	D	D		314				522			1b-3e14 lf-5(+3)e22
MNA	"Adrianza,E+"	162	6	1	28.4	30.4	43.3	0	0	6	0	8	12	19.5	32.5	30.8	1.8	w	6	0	"*4,5/- (19-13)"	B	14	D	C		425	339	411	414	410			ss-4e14 lf-4(+1)e10 3b-4e11 2b-3e39 1b-4e25
MLN	"Aguilar,J"	279	37	10	25.4	38.4	43	3.3	5	0	18	42	8	17.6	28.6	37.7	4.8	8	0	18	-/- (---)	E	9	D	D		317		537					1b-3e17 3b-5e37
ARN	"Ahmed,N"	167	20	0	40.3	41.3	64.1	3	4	-4	30	25	0	13.4	14.4	22.8	2	3	0	27	"*2-7,11,12/8-10 (15-7)"	D	14	D	C					219				ss-2e19
ATN	"Albies,O+"	217	0	16	27.5	46.5	41.8	2.3	2	-4	7	14	6	25.4	34.4	39	1	0	-4	9	*7/- (19-12)	B	15	D	C			208						2b-2e8
CIN	"Alcantara,A+"	105	41	0	0	0	0	0	w*	0	16	57	0	16.6	16.6	31.3	3.3	w	6	15	*4/- (20-11)	D	14	C	D			471	437	448	406	406	406	2b-4e71 cf-4(0)e6 ss-4e48 rf-4e6 3b-4e37 lf-4e6
PHN	"Alfaro,J"	107	49	0	19.2	27.2	29.4	1.5	1	6	15	30	0	37.6	45.6	54.7	3.8	6	6	17	-/- (---)	E	11	D	D	401	425							c-4(-1)e1,T-15(pb-3) 1b-4e25
CLA	"Almonte,A+"	172	32	16	8.4	25.4	9.6	0.4	0	-4	6	28	12	17.4	30.4	41.1	3	w	0	6	"4,6/- (13-6)"	D	14	D	C						304	304	304	rf-3(-1)e4 lf-3e4 cf-3e4
CHN	"Almora,A"	299	6	12	36.2	48.2	43.3	2	2	7	18	14	0	27.3	27.3	40.7	0.9	0	7	21	2/- (20-6)	E	13	C	D							202		cf-2(-2)e2
SEA	"Alonso,Y*"	451	31	8	9.9	18.9	35.7	8.2	8*	0	15	25	18	22.4	41.4	40.2	4.5	8	-5	13	2/- (20-6)	E	10	D	D		213							1b-2e13
PHN	"Altherr,A"	372	15	15	13.6	32.5	31.5	5	8	0	19	37	4	27.1	35.1	51.5	3	3	-5	22	"*2-6,11/10 (15-8)"	C	14	D	D						205	205	205	lf-2(-2)e5 rf-2e5 cf-2e5
HOA	"Altuve,J"	590	6	7	39.8	49.8	55.6	3.4	5	-14	21	4	11	39	53	55.1	2	3	-14	20	"*4,6/- (19-13)"	A	17	B	B			211						2b-2e11
CON	"Amarista,A*"	168	9	0	26.8	26.8	34.6	0	w	6	23	26	0	16.9	16.9	25	0.6	0	6	23	2/- (20-6)	E	12	D	C			306	365	356	406	406	406	ss-3e56 2b-3e6 cf-4(+2)e6 rf-4e6 lf-4e6 3b-3e65
CHA	"Anderson,T"	587	25	0	38.1	39.1	51.6	1.3	1	-10	18	36	0	20.3	21.3	28.4	1.5	2	-4	18	*6/- (19-11)	B	16	D	C					431				ss-4e31
TEA	"Andrus,E"	643	8	4	27.6	32.7	45.4	3.6	5	6	21	7	4	31.5	36.5	45.3	0.9	1	6	21	"*2-5,11,12/- (17-13)"	A	17	D	B					218				ss-2e18
NYN	"Aoki,N*"	336	3	10	16.8	28.8	22.5	0	w	-2	24	3	6	29	37	47.9	3.6	w	-2	25	*7/- (19-11)	B	13	D	B						402	402	402	lf-4(0)e2 rf-4e2 cf-4e2
MLN	"Arcia,O"	506	19	8	21.6	29.6	28	1.8	w	-6	15	14	1	30.4	31.4	40	2.4	3	-6	17	"*2-6,9/- (15-12)"	B	15	B	C					123				ss-1e23
CON	"Arenado,N"	606	0	7	48.3	56.3	100.2	13	8	9	24	12	10	20.9	31.9	42.3	3.3	4	9	23	5/- (13-6)	D	11	C	C				110					3b-1e10
SFN	"Arroyo,C"	125	24	0	14.5	16.5	15	0.2	1	6	24	27	8	7.4	17.4	15.7	0.9	3*	0	21	"*2-6,11,12/7-10 (15-4)"	D	12	D	D			406	315	418				3b-3e15 ss-4e18 2b-4e6
SDN	"Asuaje,C*"	307	11	8	19.1	28.1	27.2	2.7	w	-8	15	30	9	27.6	37.6	40.5	2.5	w	-8	15	"4,5/- (3-1)"	E	12	B	C			306						2b-3e6
CHN	"Avila,A*"	311	63	12	14.9	28	14.9	0	w	-1	10	35	27	17.9	45.9	30.5	3.1	5	-1	12	7/- (3-1)	E	9	D	D	303	408							c-3(0)e3,T-5(pb-2) 1b-4e8
SDN	"Aybar,E+"	333	3	9	19.9	31.9	25.8	0.8	0	-5	9	15	5	17.6	25.6	23.8	0.8	0	-6	10	"*2-5,12/- (17-12)"	B	13	B	B					416				ss-4e16
CHN	"Baez,J"	469	33	0	33.3	33.3	58.2	6.9	8	-9	18	41	0	24.1	24.1	39.7	3	4	-9	18	"*4,6/- (17-11)"	B	15	B	D			111	324	228			416	ss-2e28 2b-1e11 3b-3e24 rf-4(0)e16
MLN	"Bandy,J"	169	26	9	12.6	26.6	26.6	3	5	-2	18	34	9	11.3	25.3	18	1.9	2	-2	18	2/- (20-6)	E	8	D	B	301								c-3(+2)e1,T-6(pb-4)
LAN	"Barnes,A"	218	12	19	19.3	43.3	40.9	3.6	6	-2	17	12	26	26.3	57.3	42.4	2.7	w	-6	14	5/- (16-6)	C	13	D	C	201		419	441					c-2(-1)e1,T-13(pb-2) 2b-4e19 3b-4e41
TOA	"Barney,D"	336	22	12	20.5	33.5	25.3	1.6	w	-13	25	9	0	18.5	19.5	26.5	0.6	1	-6	29	*7/- (18-11)	B	13	C	C			206	320	356	425			2b-2e6 3b-3e20 ss-3e56 lf-4(+2)e25
CIN	"Barnhart,T+"	370	18	2	18.7	22.7	23.4	1.5	1	0	23	12	8	26	36	45.5	3.3	w	0	21	2/- (20-6)	C	10	B	B	101								c-1(-3)e1,T-1(pb-1)
TOA	"Bautista,J"	587	35	14	9.9	26.9	18.2	0.6	0	0	17	28	19	8.4	30.4	19.3	3	4	-2	14	"4,5/- (13-6)"	C	11	D	D		418		434				406	rf-4(-2)e6 3b-4e34 1b-4e18
BAA	"Beckham,T"	533	35	8	20.5	30.6	30.6	2.8	5	-5	14	39	5	28.1	35.1	40.3	2.5	4	-5	14	"2-5,11,12/10 (13-7)"	C	13	C	D			420	435	325				ss-3e25 2b-4e20 3b-4e35
PIN	"Bell,J+"	549	10	8	16	24	34	6	8	0	19	21	13	19.3	32.3	35.6	2.5	4	0	18	"4,5/9,10 (13-3)"	D	10	D	D		512							1b-5e12
LAN	"Bellinger,C*"	480	27	11	22	33	52.8	8	8	-3	5	41	11	18.5	29.5	50.4	8.2	8	-1	5	"*4,5/- (17-11)"	B	14	B	D		208				304	404	404	1b-2e8 lf-3(-1)e4 cf-4e4 rf-4e4
